weather_dim_key,daily_high_temperature,daily_low_temperature,precipitation
0,1.4,-1.9,0.3
1,5.2,-4.6,0.0
2,5.7,1.6,0.0
3,1.8,-2.8,2.2
4,-2.8,-13.0,0.0
5,-5.8,-11.1,3.0
6,-0.3,-6.8,0.0
7,-1.6,-14.9,0.7
8,-10.3,-18.1,0.0
9,3.9,-10.3,0.0
10,8.1,-2.1,39.2
11,-1.9,-11.0,9.8
12,-6.4,-11.1,0.4
13,-5.4,-9.3,0.0
14,0.2,-6.0,0.7
15,-1.4,-16.8,3.5
16,-15.5,-20.4,0.0
17,-13.4,-16.8,6.2
18,-9.0,-14.2,2.3
19,-10.1,-19.1,0.0
20,-3.9,-18.3,0.0
21,1.4,-7.7,0.0
22,2.3,-6.4,0.0
23,1.5,-5.1,0.0
24,0.4,-1.7,14.5
25,1.8,0.1,11.6
26,1.7,-1.3,0.2
27,-1.2,-8.0,2.0
28,-7.4,-15.4,0.0
29,-4.7,-16.1,0.0
30,-5.6,-16.0,0.0
31,-1.2,-12.4,0.2
32,-1.5,-7.1,2.2
33,3.8,-6.8,0.0
34,2.4,-5.9,0.0
35,-3.1,-11.5,0.0
36,-4.8,-9.7,4.7
37,-5.2,-14.7,7.6
38,-14.7,-25.1,0.0
39,-9.1,-26.3,2.2
40,0.5,-13.4,4.0
41,0.1,-9.2,0.0
42,1.6,-5.5,0.0
43,-0.3,-20.0,1.3
44,-15.7,-25.3,0.0
45,-3.3,-16.6,0.0
46,3.5,-5.3,0.0
47,-4.8,-15.0,0.0
48,4.6,-13.3,3.4
49,0.6,-12.8,0.0
50,-11.6,-19.5,0.0
51,-0.3,-21.1,0.0
52,3.8,-4.0,0.0
53,5.6,-8.3,0.0
54,9.6,-4.1,0.0
55,5.5,0.5,0.0
56,0.6,-1.5,4.9
57,1.1,-9.5,21.2
58,-8.0,-13.4,0.0
59,-8.8,-16.0,0.0
60,-3.5,-16.0,1.7
61,4.0,-7.1,2.7
62,5.4,-8.3,13.4
63,4.7,-0.4,0.0
64,2.8,-2.9,0.2
65,0.1,-5.4,5.1
66,0.0,-10.9,0.0
67,6.8,-2.8,0.0
68,12.1,2.5,2.0
69,7.1,-4.2,5.8
70,0.5,-7.2,0.0
71,2.5,-3.4,0.0
72,8.1,0.1,9.7
73,4.7,-3.3,0.0
74,-2.0,-8.8,0.0
75,-0.7,-9.7,0.0
76,6.0,-3.6,7.0
77,4.6,-4.0,0.0
78,3.8,-0.1,0.4
79,14.2,-5.8,6.7
80,-3.7,-10.9,0.0
81,-0.6,-8.9,0.0
82,0.4,-5.5,4.3
83,4.3,-3.3,0.0
84,4.9,-3.4,0.0
85,9.6,1.2,4.1
86,7.5,-1.9,0.0
87,6.8,-3.3,0.0
88,4.8,2.8,21.0
89,7.9,1.8,4.3
90,8.7,-0.5,0.5
91,7.7,-1.0,0.0
92,10.1,0.9,0.0
93,10.3,3.9,0.9
94,14.3,2.5,0.2
95,10.6,0.8,0.2
96,13.9,-1.9,0.0
97,12.5,0.8,0.0
98,8.2,1.8,0.0
99,7.2,0.9,11.3
100,5.2,0.4,0.3
101,8.0,-1.3,0.0
102,12.0,-1.0,0.0
103,15.6,3.1,20.1
104,7.3,-0.5,0.0
105,3.6,-2.4,0.0
106,5.2,-2.8,0.0
107,6.1,-1.2,0.0
108,10.8,-3.7,0.0
109,8.3,-0.9,7.2
110,6.3,-3.9,0.0
111,6.3,-4.3,4.3
112,2.8,-6.1,0.0
113,7.3,-4.9,0.0
114,9.9,-1.6,0.0
115,15.1,-1.7,0.0
116,13.4,5.8,0.0
117,13.1,2.4,0.0
118,15.3,-1.3,0.0
119,17.0,3.2,0.0
120,13.2,9.5,25.0
121,,,
122,19.9,3.4,0.4
123,21.8,8.3,0.0
124,10.9,1.0,0.0
125,11.5,-0.8,0.0
126,14.9,2.3,0.0
127,13.5,1.9,0.0
128,5.6,-0.3,0.0
129,5.6,-2.7,0.0
130,12.5,1.6,0.0
131,10.3,1.7,0.0
132,8.5,-0.8,0.0
133,14.4,0.4,0.0
134,17.5,1.9,0.0
135,12.5,9.7,18.3
136,16.9,10.6,0.0
137,20.1,8.6,0.0
138,20.9,10.6,0.0
139,20.0,8.7,0.0
140,23.6,7.8,0.0
141,24.4,9.0,0.0
142,28.4,10.4,0.0
143,24.6,13.0,0.0
144,27.4,10.5,0.0
145,22.9,16.4,2.8
146,31.8,14.6,0.0
147,33.7,17.9,0.0
148,27.6,19.4,0.0
149,27.8,13.8,18.5
150,19.7,5.6,8.3
151,12.7,4.3,0.0
152,17.8,3.4,0.0
153,15.9,8.6,0.0
154,19.2,12.5,0.0
155,24.8,11.0,0.0
156,29.0,12.9,0.0
157,23.9,13.2,0.0
158,21.3,10.9,0.0
159,22.2,11.2,0.0
160,22.3,12.9,0.4
161,29.2,14.8,0.9
162,23.2,14.5,1.1
163,17.1,5.9,0.3
164,16.2,5.8,0.9
165,21.0,6.5,0.0
166,24.0,6.8,0.0
167,27.5,8.8,0.0
168,30.1,11.5,0.0
169,32.2,13.2,0.0
170,31.4,16.6,0.0
171,32.2,18.4,0.0
172,32.6,17.3,0.0
173,33.4,19.3,5.1
174,30.5,19.6,2.8
175,21.7,15.7,0.2
176,24.3,15.8,0.0
177,26.4,12.8,0.0
178,26.6,16.9,0.0
179,27.5,17.5,3.7
180,27.3,16.1,0.0
181,27.2,18.8,0.0
182,32.1,17.8,0.0
183,31.1,21.1,0.0
184,31.5,20.6,0.0
185,30.4,16.6,0.0
186,30.0,15.5,0.0
187,30.9,13.6,0.0
188,34.5,17.4,0.8
189,33.3,21.2,0.4
190,35.5,20.4,1.0
191,36.4,20.9,0.0
192,28.2,21.1,6.3
193,27.3,18.7,0.3
194,26.7,17.4,0.0
195,28.2,17.5,0.0
196,27.9,15.9,0.0
197,27.2,18.1,0.0
198,31.3,20.5,4.2
199,32.5,18.0,0.0
200,31.5,21.5,26.9
201,28.9,20.2,0.0
202,25.7,16.8,0.0
203,25.5,16.8,3.6
204,26.3,17.4,0.0
205,29.7,14.0,0.0
206,31.7,15.1,0.0
207,34.5,21.9,0.0
208,31.5,23.9,1.0
209,30.0,20.1,0.0
210,28.7,17.7,9.1
211,26.3,15.6,13.9
212,28.8,15.8,0.0
213,30.0,15.8,0.0
214,23.5,19.2,36.1
215,24.7,16.9,0.6
216,21.0,17.3,23.5
217,22.9,16.3,1.0
218,25.1,14.0,0.0
219,27.1,12.5,0.0
220,28.8,13.6,0.0
221,23.2,17.6,1.1
222,29.5,17.5,0.9
223,31.4,18.6,7.7
224,29.7,17.7,0.0
225,29.3,15.9,0.0
226,27.3,16.4,0.0
227,28.0,15.4,0.0
228,27.7,17.1,26.5
229,25.2,15.7,27.8
230,22.4,13.7,2.7
231,20.8,11.1,0.0
232,19.5,9.5,0.5
233,23.3,15.4,0.8
234,26.7,15.5,0.0
235,28.2,18.4,19.5
236,28.4,18.3,6.9
237,23.4,12.2,0.7
238,18.5,9.4,0.2
239,16.5,9.9,4.0
240,22.4,12.1,0.0
241,16.7,14.2,28.3
242,20.2,12.2,1.5
243,21.6,8.0,0.0
244,24.5,13.1,0.0
245,26.9,16.4,7.8
246,24.1,14.4,1.7
247,21.1,12.4,0.8
248,20.9,9.4,2.1
249,20.1,8.8,0.0
250,24.8,11.3,0.5
251,18.6,10.0,0.5
252,15.8,12.1,6.0
253,15.4,10.3,0.0
254,17.4,6.3,0.0
255,20.9,5.1,0.2
256,21.7,14.6,6.3
257,14.7,4.7,0.0
