"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-01","2021","01","01","","-0.3","","-6.2","","-3.3","","21.3","","0.0","","","","","","2.7","","4","","7","","32",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-02","2021","01","02","","0.0","","-4.6","","-2.3","","20.3","","0.0","","","","","","5.5","","11","","6","","34",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-03","2021","01","03","","-1.9","","-5.9","","-3.9","","21.9","","0.0","","","","","","0.0","","10","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-04","2021","01","04","","-0.6","","-2.8","","-1.7","","19.7","","0.0","","","","","","0.2","","9","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-05","2021","01","05","","-1.2","","-2.9","","-2.0","","20.0","","0.0","","","","","","0.7","","8","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-06","2021","01","06","","-1.7","","-4.3","","-3.0","","21.0","","0.0","","","","","","0.0","","9","","32","","31",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-07","2021","01","07","","-2.1","","-7.2","","-4.7","","22.7","","0.0","","","","","","0.0","","8","","32","","33",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-08","2021","01","08","","-4.1","","-11.1","","-7.6","","25.6","","0.0","","","","","","0.0","","8","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-09","2021","01","09","","-1.5","","-8.6","","-5.1","","23.1","","0.0","","","","","","0.0","","8","","34","","34",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2021-01-10","2021","01","10","","-6.0","","-10.4","","-8.2","","26.2","","0.0","","","","","","0.0","","8","","","","",""
